Index,Time,openloop_spd_ref,openloop_spd_fdb,start_ident_flag
1000,1.000704,-4898.03516,-2.86488938,1
1001,1.001701,-4898.03516,-2.86488938,1
1002,1.002702,-4876.16455,-2.86488938,1
1003,1.003698,-4854.10107,-2.86488938,1
1004,1.004765,-4809.40039,-2.9096303,1
1005,1.005701,-4809.40039,-2.9096303,1
1006,1.006703,-4786.76611,-2.9096303,1
1007,1.007699,-4763.94189,-2.9096303,1
1008,1.008701,-4740.9292,-2.94052315,1
1009,1.009697,-4717.729,-2.97780728,1
1010,1.010698,-4694.34326,-2.97780728,1
1011,1.011702,-4670.77148,-2.97780728,1
1012,1.012703,-4647.01758,-2.97780728,1
1013,1.0137,-4623.07812,-2.97780728,1
1014,1.014704,-4598.95654,-2.97780728,1
1015,1.015725,-4550.16943,-2.97780728,1
1016,1.016719,-4525.50537,-2.99591684,1
1017,1.017704,-4500.66504,-2.99591684,1
1018,1.018701,-4500.66504,-2.99591684,1
1019,1.019703,-4450.44873,-2.99591684,1
1020,1.0207,-4450.44873,-3.03639674,1
1021,1.021702,-4425.07617,-3.05770206,1
1022,1.022699,-4399.5293,-3.05770206,1
1023,1.023701,-4373.80859,-3.05770206,1
1024,1.024702,-4347.91699,-3.05770206,1
1025,1.025704,-4321.854,-3.05770206,1
1026,1.026738,-4269.21289,-3.05770206,1
1027,1.027702,-4269.21289,-3.05770206,1
1028,1.028704,-4242.63916,-3.07581162,1
1029,1.029702,-4215.89795,-3.07581162,1
1030,1.030703,-4188.99219,-3.07581162,1
1031,1.031701,-4161.91943,-3.07581162,1
1032,1.032703,-4134.68164,-3.09498644,1
1033,1.0337,-4107.28125,-3.10883474,1
1034,1.034712,-4051.99438,-3.10883474,1
1035,1.035701,-4051.99438,-3.10883474,1
1036,1.036703,-3996.07007,-3.10883474,1
1037,1.037701,-3996.07007,-3.10883474,1
1038,1.038712,-3939.51245,-3.10883474,1
1039,1.039699,-3939.51245,-3.10883474,1
1040,1.040704,-3910.99976,-3.13866234,1
1041,1.041698,-3882.33276,-3.13866234,1
1042,1.042703,-3824.54224,-3.13866234,1
1043,1.043697,-3795.4187,-3.13866234,1
1044,1.044698,-3766.14551,-3.16422868,1
1045,1.045699,-3736.72363,-3.17275071,1
1046,1.046697,-3736.72363,-3.17275071,1
1047,1.047698,-3677.44043,-3.17275071,1
1048,1.048733,-3647.57959,-3.17275071,1
1049,1.0497,-3617.57446,-3.17275071,1
1050,1.050701,-3587.42676,-3.17275071,1
1051,1.051698,-3557.13721,-3.17275071,1
1052,1.052699,-3557.13721,-3.18872976,1
1053,1.053703,-3496.14282,-3.18872976,1
1054,1.054699,-3465.43555,-3.18872976,1
1055,1.055704,-3434.5918,-3.18872976,1
1056,1.056697,-3403.61206,-3.19086027,1
1057,1.057702,-3372.49829,-3.19938231,1
1058,1.058703,-3341.25122,-3.19938231,1
1059,1.059714,-3309.87451,-3.19938231,1
1060,1.060703,-3278.36499,-3.19938231,1
1061,1.061704,-3246.72583,-3.19938231,1
1062,1.062701,-3214.95874,-3.19938231,1
1063,1.063702,-3183.06445,-3.19938231,1
1064,1.064702,-3151.04468,-3.21855712,1
1065,1.065703,-3118.90283,-3.21855712,1
1066,1.066699,-3086.6355,-3.21855712,1
1067,1.0677,-3054.24634,-3.21855712,1
1068,1.068697,-3021.73657,-3.22281814,1
1069,1.069739,-2989.10742,-3.22920966,1
1070,1.0707,-2989.10742,-3.22920966,1
1071,1.071702,-2923.49902,-3.22920966,1
1072,1.072699,-2890.51978,-3.22920966,1
1073,1.0737,-2857.42627,-3.22920966,1
1074,1.074699,-2824.22021,-3.22920966,1
1075,1.0757,-2790.90259,-3.22920966,1
1076,1.076697,-2790.90259,-3.22175288,1
1077,1.077698,-2723.94043,-3.22175288,1
1078,1.078702,-2690.29639,-3.22175288,1
1079,1.079703,-2656.5459,-3.22175288,1
1080,1.080719,-2622.69312,-3.23240542,1
1081,1.081697,-2588.73413,-3.22388339,1
1082,1.082701,-2554.6731,-3.22388339,1
1083,1.083702,-2520.51392,-3.22388339,1
1084,1.084703,-2486.25244,-3.22388339,1
1085,1.085697,-2451.89282,-3.22388339,1
1086,1.086702,-2417.43652,-3.22388339,1
1087,1.087704,-2417.43652,-3.22388339,1
1088,1.088702,-2382.88477,-3.21855712,1
1089,1.089859,-2313.50293,-3.21855712,1
1090,1.090717,-2278.67285,-3.21855712,1
1091,1.091699,-2278.67285,-3.21855712,1
1092,1.092701,-2243.75293,-3.22814441,1
1093,1.093698,-2208.74463,-3.22494864,1
1094,1.094703,-2173.64893,-3.22494864,1
1095,1.0957,-2138.46729,-3.22494864,1
