Index,Time,openloop_spd_ref,openloop_spd_fdb,start_ident_flag
5000,5.000716,3000,2.34318876,1
5001,5.001722,3000,2.34318876,1
5002,5.002723,3000,2.35703707,1
5003,5.003721,3000,2.35703707,1
5004,5.004721,3000,2.35703707,1
5005,5.005719,3000,2.35703707,1
5006,5.00672,3000,2.35703707,1
5007,5.007717,3000,2.35703707,1
5008,5.008718,3000,2.35810232,1
5009,5.009764,3000,2.35810232,1
5010,5.010717,3000,2.35810232,1
5011,5.011723,3000,2.35810232,1
5012,5.012716,3000,2.35810232,1
5013,5.013721,3000,2.35703707,1
5014,5.014722,3000,2.36768985,1
5015,5.015719,3000,2.36768985,1
5016,5.01672,3000,2.36768985,1
5017,5.017717,3000,2.36768985,1
5018,5.018718,3000,2.36768985,1
5019,5.019719,3000,2.36768985,1
5020,5.020739,3000,2.36449385,1
5021,5.021716,3000,2.36449385,1
5022,5.022722,3000,2.36449385,1
5023,5.023722,3000,2.36449385,1
5024,5.02472,3000,2.36449385,1
5025,5.025721,3000,2.35703707,1
5026,5.026718,3000,2.34318876,1
5027,5.027719,3000,2.34318876,1
5028,5.028717,3000,2.34318876,1
5029,5.029721,3000,2.34318876,1
5030,5.030728,3000,2.34318876,1
5031,5.03172,3000,2.34318876,1
5032,5.032716,3000,2.3517108,1
5033,5.033723,3000,2.3517108,1
5034,5.03472,3000,2.3517108,1
5035,5.03572,3000,2.3517108,1
5036,5.036717,3000,2.3517108,1
5037,5.037717,3000,2.35490656,1
5038,5.038721,3000,2.34958029,1
5039,5.039716,3000,2.34958029,1
5040,5.040799,3000,2.34958029,1
5041,5.041719,3000,2.34958029,1
5042,5.042716,3000,2.34958029,1
5043,5.043717,3000,2.34958029,1
5044,5.04473,3000,2.36129808,1
5045,5.045722,3000,2.36129808,1
5046,5.046718,3000,2.36129808,1
5047,5.047718,3000,2.36129808,1
5048,5.048723,3000,2.36129808,1
5049,5.049718,3000,2.35490656,1
5050,5.050814,3000,2.35064554,1
5051,5.051716,3000,2.35064554,1
5052,5.052717,3000,2.35064554,1
5053,5.053874,3000,2.35064554,1
5054,5.054719,3000,2.35064554,1
5055,5.055719,3000,2.35064554,1
5056,5.056716,3000,2.35490656,1
