Index,Time,openloop_spd_ref,openloop_spd_fdb,start_ident_flag
5000,5.000208,3000,1.43877923,1
5001,5.001219,3000,1.43877923,1
5002,5.002208,3000,1.43877923,1
5003,5.003209,3000,1.43877923,1
5004,5.004206,3000,1.43877923,1
5005,5.005207,3000,1.43877923,1
5006,5.006204,3000,1.43877923,1
5007,5.007205,3000,1.441975,1
5008,5.008206,3000,1.441975,1
5009,5.009207,3000,1.441975,1
5010,5.010204,3000,1.441975,1
5011,5.011205,3000,1.43984449,1
5012,5.012215,3000,1.45369291,1
5013,5.013205,3000,1.45369291,1
5014,5.014205,3000,1.45369291,1
5015,5.015203,3000,1.45369291,1
5016,5.016204,3000,1.45369291,1
5017,5.017209,3000,1.45369291,1
5018,5.018205,3000,1.45369291,1
5019,5.019203,3000,1.45582342,1
5020,5.020204,3000,1.45582342,1
5021,5.021209,3000,1.45582342,1
5022,5.022234,3000,1.45582342,1
5023,5.023216,3000,1.45688879,1
5024,5.024206,3000,1.46754134,1
5025,5.025207,3000,1.46754134,1
5026,5.026204,3000,1.46754134,1
5027,5.027205,3000,1.46754134,1
5028,5.028205,3000,1.46754134,1
5029,5.029206,3000,1.46754134,1
5030,5.030203,3000,1.46754134,1
5031,5.031204,3000,1.46008456,1
5032,5.03221,3000,1.46008456,1
5033,5.033203,3000,1.46008456,1
5034,5.034219,3000,1.46008456,1
5035,5.03521,3000,1.46967196,1
5036,5.036207,3000,1.47180247,1
5037,5.037207,3000,1.47180247,1
5038,5.038206,3000,1.47180247,1
5039,5.039206,3000,1.47180247,1
5040,5.040203,3000,1.47180247,1
5041,5.041203,3000,1.47180247,1
5042,5.042208,3000,1.47180247,1
5043,5.043208,3000,1.47606349,1
5044,5.044218,3000,1.47606349,1
5045,5.045221,3000,1.47606349,1
5046,5.046205,3000,1.47606349,1
5047,5.04721,3000,1.47712874,1
5048,5.048205,3000,1.48032451,1
5049,5.04921,3000,1.48032451,1
5050,5.05021,3000,1.48032451,1
5051,5.051206,3000,1.48032451,1
5052,5.052206,3000,1.48032451,1
5053,5.053202,3000,1.48032451,1
5054,5.054202,3000,1.48032451,1
5055,5.055279,3000,1.47606349,1
5056,5.056208,3000,1.47606349,1
5057,5.057205,3000,1.47606349,1
5058,5.058208,3000,1.47606349,1
5059,5.059205,3000,1.48778141,1
5060,5.060205,3000,1.48138988,1
5061,5.061209,3000,1.48138988,1
5062,5.062209,3000,1.48138988,1
5063,5.063206,3000,1.48138988,1
5064,5.064206,3000,1.48138988,1
5065,5.065227,3000,1.48138988,1
5066,5.066218,3000,1.48138988,1
5067,5.067207,3000,1.47925925,1
5068,5.06821,3000,1.47925925,1
5069,5.069207,3000,1.47925925,1
5070,5.070208,3000,1.47925925,1
5071,5.071206,3000,1.48032451,1
5072,5.072207,3000,1.47925925,1
5073,5.073204,3000,1.47925925,1
5074,5.074205,3000,1.47925925,1
5075,5.07521,3000,1.47925925,1
5076,5.076228,3000,1.47925925,1
5077,5.077219,3000,1.47925925,1
5078,5.078204,3000,1.47925925,1
5079,5.079205,3000,1.49204242,1
5080,5.080203,3000,1.49204242,1
5081,5.081203,3000,1.49204242,1
5082,5.082209,3000,1.49204242,1
5083,5.083209,3000,1.48245513,1
5084,5.084207,3000,1.48884666,1
5085,5.085207,3000,1.48884666,1
5086,5.086205,3000,1.48884666,1
5087,5.087218,3000,1.48884666,1
5088,5.088206,3000,1.48884666,1
5089,5.089204,3000,1.48884666,1
5090,5.090205,3000,1.48884666,1
5091,5.09121,3000,1.49310768,1
5092,5.092203,3000,1.49310768,1
5093,5.093208,3000,1.49310768,1
5094,5.094209,3000,1.49310768,1
5095,5.095206,3000,1.50802147,1
5096,5.096207,3000,1.50376034,1
5097,5.097229,3000,1.50376034,1
5098,5.098216,3000,1.50376034,1
5099,5.099204,3000,1.50376034,1
5100,5.10022,3000,1.50376034,1
5101,5.101208,3000,1.50376034,1
5102,5.102208,3000,1.50376034,1
5103,5.103205,3000,1.50695622,1
5104,5.104205,3000,1.50695622,1
5105,5.10521,3000,1.50695622,1
5106,5.10621,3000,1.50695622,1
5107,5.10723,3000,1.51334774,1
5108,5.108215,3000,1.52506566,1
5109,5.109204,3000,1.52506566,1
5110,5.110204,3000,1.52506566,1
5111,5.111208,3000,1.52506566,1
5112,5.112209,3000,1.52506566,1
5113,5.113205,3000,1.52506566,1
5114,5.114205,3000,1.52506566,1
5115,5.11521,3000,1.52506566,1
5116,5.11621,3000,1.52506566,1
5117,5.117206,3000,1.52506566,1
5118,5.118261,3000,1.52506566,1
5119,5.11921,3000,1.54210985,1
5120,5.120208,3000,1.54637098,1
5121,5.121208,3000,1.54637098,1
5122,5.122204,3000,1.54637098,1
5123,5.123204,3000,1.54637098,1
5124,5.124209,3000,1.54637098,1
5125,5.125209,3000,1.54637098,1
5126,5.126205,3000,1.54637098,1
5127,5.127205,3000,1.54637098,1
5128,5.128258,3000,1.54637098,1
5129,5.129227,3000,1.54637098,1
5130,5.130364,3000,1.54637098,1
5131,5.131258,3000,1.55382776,1
5132,5.13221,3000,1.56661093,1
5133,5.133206,3000,1.56661093,1
5134,5.134207,3000,1.56661093,1
5135,5.135204,3000,1.56661093,1
5136,5.136206,3000,1.56661093,1
5137,5.137203,3000,1.56661093,1
5138,5.138207,3000,1.56661093,1
5139,5.139204,3000,1.58365524,1
5140,5.14022,3000,1.58365524,1
5141,5.141209,3000,1.58365524,1
5142,5.14221,3000,1.58365524,1
5143,5.143207,3000,1.58578575,1
5144,5.144209,3000,1.60069942,1
5145,5.145206,3000,1.60069942,1
5146,5.146207,3000,1.60069942,1
5147,5.147204,3000,1.60069942,1
5148,5.148208,3000,1.60069942,1
5149,5.149205,3000,1.60069942,1
5150,5.150246,3000,1.60069942,1
5151,5.15121,3000,1.60389519,1
5152,5.152269,3000,1.60389519,1
5153,5.153206,-3000,1.60389519,1
5154,5.154203,-3000,1.60389519,1
5155,5.155204,-3000,1.61454785,1
5156,5.156209,-3000,1.62093949,1
5157,5.15721,-3000,1.62093949,1
5158,5.15821,-3000,1.62093949,1
5159,5.159203,-3000,1.62093949,1
5160,5.160209,-3000,1.62093949,1
5161,5.161217,-3000,1.62093949,1
5162,5.162206,-3000,1.62093949,1
5163,5.163207,-3000,1.61135209,1
5164,5.164204,-3000,1.61135209,1
5165,5.165204,-3000,1.61135209,1
5166,5.166207,-3000,1.61135209,1
5167,5.167207,-3000,1.63372266,1
5168,5.168207,-3000,1.5580889,1
5169,5.169207,-3000,1.5580889,1
5170,5.170204,-3000,1.5580889,1
5171,5.171222,-3000,1.5580889,1
5172,5.172203,-3000,1.5580889,1
5173,5.173203,-3000,1.5580889,1
5174,5.174208,-3000,1.5580889,1
5175,5.175208,-3000,1.4590193,1
5176,5.176205,-3000,1.4590193,1
5177,5.177205,-3000,1.4590193,1
5178,5.178204,-3000,1.4590193,1
5179,5.179204,-3000,1.37060237,1
5180,5.180209,-3000,1.29603386,1
5181,5.181216,-3000,1.29603386,1
5182,5.182208,-3000,1.29603386,1
5183,5.183205,-3000,1.29603386,1
5184,5.184205,-3000,1.29603386,1
5185,5.18521,-3000,1.29603386,1
5186,5.18621,-3000,1.29603386,1
5187,5.187206,-3000,1.20122528,1
5188,5.188209,-3000,1.20122528,1
5189,5.189206,-3000,1.20122528,1
5190,5.190206,-3000,1.20122528,1
5191,5.191227,-3000,1.12346101,1
5192,5.192204,-3000,1.05102301,1
5193,5.193208,-3000,1.05102301,1
5194,5.194208,-3000,1.05102301,1
5195,5.195205,-3000,1.05102301,1
5196,5.196205,-3000,1.05102301,1
5197,5.197209,-3000,1.05102301,1
5198,5.198204,-3000,1.05102301,1
5199,5.199209,-3000,0.963671267,1
5200,5.20021,-3000,0.963671267,1
5201,5.201207,-3000,0.963671267,1
5202,5.202278,-3000,0.963671267,1
5203,5.203209,-3000,0.884841681,1
5204,5.204207,-3000,0.806012094,1
5205,5.205207,-3000,0.806012094,1
5206,5.206205,-3000,0.806012094,1
5207,5.207205,-3000,0.806012094,1
5208,5.208206,-3000,0.806012094,1
5209,5.20922,-3000,0.806012094,1
5210,5.21021,-3000,0.806012094,1
5211,5.211203,-3000,0.73570466,1
5212,5.212208,-3000,0.73570466,1
5213,5.213209,-3000,0.73570466,1
5214,5.214221,-3000,0.73570466,1
5215,5.215202,-3000,0.669658244,1
5216,5.216204,-3000,0.55567497,1
5217,5.217209,-3000,0.55567497,1
5218,5.218205,-3000,0.55567497,1
5219,5.21921,-3000,0.55567497,1
5220,5.220203,-3000,0.55567497,1
5221,5.221208,-3000,0.55567497,1
5222,5.222209,-3000,0.55567497,1
5223,5.223207,-3000,0.490693808,1
5224,5.224219,-3000,0.490693808,1
5225,5.225204,-3000,0.490693808,1
5226,5.22621,-3000,0.490693808,1
5227,5.227203,-3000,0.434234798,1
5228,5.228203,-3000,0.327708364,1
5229,5.229204,-3000,0.327708364,1
5230,5.230208,-3000,0.327708364,1
5231,5.231207,-3000,0.327708364,1
5232,5.232204,-3000,0.327708364,1
5233,5.233204,-3000,0.327708364,1
5234,5.234219,-3000,0.327708364,1
5235,5.235206,-3000,0.246748284,1
5236,5.23621,-3000,0.246748284,1
5237,5.23721,-3000,0.246748284,1
5238,5.238209,-3000,0.246748284,1
5239,5.23921,-3000,0.166853443,1
5240,5.240207,-3000,0.0922849253,1
5241,5.241207,-3000,0.0922849253,1
5242,5.242203,-3000,0.0922849253,1
5243,5.243203,-3000,0.0922849253,1
5244,5.244208,-3000,0.0922849253,1
5245,5.245222,-3000,0.0922849253,1
5246,5.246203,-3000,0.0922849253,1
5247,5.247203,-3000,0.00280271051,1
5248,5.24821,-3000,0.00280271051,1
5249,5.24921,-3000,0.00280271051,1
5250,5.250207,-3000,0.00280271051,1
5251,5.251207,-3000,-0.0685700104,1
5252,5.252203,-3000,-0.113311119,1
5253,5.253203,-3000,-0.113311119,1
5254,5.254208,-3000,-0.113311119,1
5255,5.255215,-3000,-0.113311119,1
5256,5.256208,-3000,-0.113311119,1
5257,5.257205,-3000,-0.113311119,1
5258,5.258208,-3000,-0.113311119,1
5259,5.259205,-3000,-0.147399575,1
5260,5.260205,-3000,-0.147399575,1
5261,5.261209,-3000,-0.147399575,1
5262,5.262209,-3000,-0.147399575,1
5263,5.263206,-3000,-0.194271207,1
5264,5.264206,-3000,-0.250730246,1
5265,5.265216,-3000,-0.250730246,1
5266,5.266243,-3000,-0.250730246,1
5267,5.267208,-3000,-0.250730246,1
5268,5.268209,-3000,-0.250730246,1
5269,5.26921,-3000,-0.250730246,1
5270,5.270207,-3000,-0.250730246,1
5271,5.271208,-3000,-0.289079756,1
5272,5.272206,-3000,-0.289079756,1
5273,5.273206,-3000,-0.289079756,1
5274,5.274204,-3000,-0.289079756,1
5275,5.275205,-3000,-0.312515587,1
5276,5.276285,-3000,-0.365778804,1
5277,5.277205,-3000,-0.365778804,1
5278,5.278206,-3000,-0.365778804,1
5279,5.279207,-3000,-0.365778804,1
5280,5.280205,-3000,-0.365778804,1
5281,5.281206,-3000,-0.365778804,1
5282,5.282203,-3000,-0.365778804,1
5283,5.283204,-3000,-0.389214605,1
5284,5.284209,-3000,-0.389214605,1
5285,5.28521,-3000,-0.389214605,1
5286,5.286207,-3000,-0.389214605,1
5287,5.287264,-3000,-0.42649889,1
5288,5.288207,-3000,-0.449934691,1
5289,5.289205,-3000,-0.449934691,1
5290,5.290206,-3000,-0.449934691,1
5291,5.291203,-3000,-0.449934691,1
5292,5.292204,-3000,-0.449934691,1
5293,5.293209,-3000,-0.449934691,1
5294,5.29421,-3000,-0.449934691,1
5295,5.295207,-3000,-0.497871608,1
5296,5.296207,-3000,-0.497871608,1
5297,5.297203,-3000,-0.497871608,1
5298,5.29822,-3000,-0.497871608,1
5299,5.299209,-3000,-0.515981078,1
5300,5.300209,-3000,-0.545808494,1
5301,5.301205,-3000,-0.545808494,1
5302,5.302205,-3000,-0.545808494,1
5303,5.30321,-3000,-0.545808494,1
5304,5.304202,-3000,-0.545808494,1
5305,5.305207,-3000,-0.545808494,1
5306,5.306207,-3000,-0.545808494,1
5307,5.307203,-3000,-0.568179071,1
5308,5.308206,-3000,-0.568179071,1
5309,5.309216,-3000,-0.568179071,1
5310,5.310205,-3000,-0.568179071,1
5311,5.311205,-3000,-0.568179071,1
5312,5.31221,-3000,-0.60652858,1
5313,5.31321,-3000,-0.60652858,1
5314,5.314206,-3000,-0.60652858,1
5315,5.315206,-3000,-0.60652858,1
5316,5.316203,-3000,-0.60652858,1
5317,5.317203,-3000,-0.60652858,1
5318,5.31821,-3000,-0.60652858,1
5319,5.319216,-3000,-0.658726513,1
5320,5.320209,-3000,-0.658726513,1
5321,5.321206,-3000,-0.658726513,1
5322,5.322206,-3000,-0.658726513,1
5323,5.323304,-3000,-0.67577076,1
5324,5.324208,-3000,-0.704532921,1
5325,5.325205,-3000,-0.704532921,1
5326,5.326205,-3000,-0.704532921,1
5327,5.32721,-3000,-0.704532921,1
5328,5.328205,-3000,-0.704532921,1
5329,5.329305,-3000,-0.704532921,1
5330,5.330317,-3000,-0.704532921,1
5331,5.33121,-3000,-0.733295023,1
5332,5.33238,-3000,-0.733295023,1
5333,5.333204,-3000,-0.733295023,1
5334,5.33421,-3000,-0.733295023,1
5335,5.335203,-3000,-0.75033927,1
5336,5.336209,-3000,-0.78655827,1
5337,5.33721,-3000,-0.78655827,1
5338,5.33821,-3000,-0.78655827,1
5339,5.339203,-3000,-0.78655827,1
5340,5.340208,-3000,-0.78655827,1
5341,5.341221,-3000,-0.78655827,1
5342,5.342203,-3000,-0.78655827,1
5343,5.343204,-3000,-0.811059356,1
5344,5.344209,-3000,-0.811059356,1
5345,5.34521,-3000,-0.811059356,1
5346,5.346207,-3000,-0.811059356,1
5347,5.347208,-3000,-0.818516195,1
5348,5.348209,-3000,-0.847278357,1
5349,5.349209,-3000,-0.847278357,1
5350,5.350207,-3000,-0.847278357,1
5351,5.351284,-3000,-0.847278357,1
5352,5.352208,-3000,-0.847278357,1
5353,5.353205,-3000,-0.847278357,1
5354,5.354206,-3000,-0.847278357,1
5355,5.355204,-3000,-0.870714128,1
5356,5.356204,-3000,-0.870714128,1
5357,5.35721,-3000,-0.870714128,1
5358,5.358206,-3000,-0.870714128,1
5359,5.359203,-3000,-0.895215213,1
5360,5.360204,-3000,-0.912259459,1
5361,5.361209,-3000,-0.912259459,1
5362,5.362295,-3000,-0.912259459,1
5363,5.363207,-3000,-0.912259459,1
5364,5.364204,-3000,-0.912259459,1
5365,5.365204,-3000,-0.912259459,1
5366,5.366208,-3000,-0.912259459,1
5367,5.367208,-3000,-0.929303706,1
5368,5.368208,-3000,-0.929303706,1
5369,5.369208,-3000,-0.929303706,1
5370,5.370205,-3000,-0.929303706,1
5371,5.371205,-3000,-0.953804791,1
5372,5.372274,-3000,-0.96126163,1
5373,5.373203,-3000,-0.96126163,1
5374,5.374207,-3000,-0.96126163,1
5375,5.375207,-3000,-0.96126163,1
5376,5.376204,-3000,-0.96126163,1
5377,5.377204,-3000,-0.96126163,1
5378,5.378204,-3000,-0.96126163,1
5379,5.379204,-3000,-0.983632207,1
5380,5.38033,-3000,-0.983632207,1
5381,5.38121,-3000,-0.983632207,1
5382,5.382231,-3000,-0.983632207,1
5383,5.383223,-3000,-1.00919843,1
5384,5.384204,-3000,-1.02730799,1
5385,5.385204,-3000,-1.02730799,1
5386,5.386209,-3000,-1.02730799,1
5387,5.387209,-3000,-1.02730799,1
5388,5.388208,-3000,-1.02730799,1
5389,5.389208,-3000,-1.02730799,1
5390,5.390205,-3000,-1.02730799,1
5391,5.391205,-3000,-1.03796065,1
5392,5.39221,-3000,-1.03796065,1
5393,5.39321,-3000,-1.03796065,1
5394,5.394222,-3000,-1.03796065,1
5395,5.395206,-3000,-1.05713534,1
5396,5.396203,-3000,-1.0752449,1
5397,5.397204,-3000,-1.0752449,1
5398,5.398204,-3000,-1.0752449,1
5399,5.399205,-3000,-1.0752449,1
5400,5.400203,-3000,-1.0752449,1
5401,5.401204,-3000,-1.0752449,1
5402,5.402209,-3000,-1.0752449,1
5403,5.40321,-3000,-1.08696282,1
5404,5.404207,-3000,-1.08696282,1
5405,5.405264,-3000,-1.08696282,1
5406,5.406209,-3000,-1.08696282,1
5407,5.407206,-3000,-1.11252916,1
5408,5.408203,-3000,-1.13383436,1
5409,5.409208,-3000,-1.13383436,1
5410,5.410209,-3000,-1.13383436,1
5411,5.411206,-3000,-1.13383436,1
5412,5.412207,-3000,-1.13383436,1
5413,5.413204,-3000,-1.13383436,1
5414,5.414205,-3000,-1.13383436,1
5415,5.415223,-3000,-1.14981341,1
5416,5.416208,-3000,-1.14981341,1
5417,5.417206,-3000,-1.14981341,1
5418,5.41821,-3000,-1.14981341,1
5419,5.419207,-3000,-1.17537975,1
5420,5.420208,-3000,-1.19348919,1
5421,5.421205,-3000,-1.19348919,1
5422,5.422206,-3000,-1.19348919,1
5423,5.423203,-3000,-1.19348919,1
5424,5.424205,-3000,-1.19348919,1
5425,5.42525,-3000,-1.19348919,1
5426,5.42621,-3000,-1.19348919,1
5427,5.427206,-3000,-1.21372926,1
5428,5.428208,-3000,-1.21372926,1
5429,5.429204,-3000,-1.21372926,1
5430,5.430204,-3000,-1.21372926,1
5431,5.431209,-3000,-1.24249136,1
5432,5.432209,-3000,-1.23609984,1
5433,5.433219,-3000,-1.23609984,1
5434,5.434203,-3000,-1.23609984,1
5435,5.435232,-3000,-1.23609984,1
5436,5.436218,-3000,-1.23609984,1
5437,5.437207,-3000,-1.23609984,1
5438,5.43821,-3000,-1.23609984,1
5439,5.439206,-3000,-1.25740504,1
5440,5.440207,-3000,-1.25740504,1
5441,5.441203,-3000,-1.25740504,1
5442,5.442203,-3000,-1.25740504,1
5443,5.443208,-3000,-1.28829777,1
5444,5.444208,-3000,-1.30853784,1
5445,5.445204,-3000,-1.30853784,1
5446,5.446217,-3000,-1.30853784,1
5447,5.447209,-3000,-1.30853784,1
5448,5.448209,-3000,-1.30853784,1
5449,5.449209,-3000,-1.30853784,1
5450,5.450206,-3000,-1.30853784,1
5451,5.451206,-3000,-1.32345152,1
5452,5.45221,-3000,-1.32345152,1
5453,5.45321,-3000,-1.32345152,1
5454,5.454207,-3000,-1.32345152,1
5455,5.455207,-3000,-1.35327888,1
5456,5.456204,-3000,-1.37245369,1
5457,5.457219,-3000,-1.37245369,1
5458,5.458203,-3000,-1.37245369,1
5459,5.459203,-3000,-1.37245369,1
5460,5.460208,-3000,-1.37245369,1
5461,5.461208,-3000,-1.37245369,1
5462,5.462205,-3000,-1.37245369,1
5463,5.463206,-3000,-1.37991047,1
5464,5.464204,-3000,-1.37991047,1
5465,5.465204,-3000,-1.37991047,1
5466,5.46621,-3000,-1.37991047,1
5467,5.467203,-3000,-1.4033463,1
5468,5.468216,-3000,-1.44063056,1
5469,5.469205,-3000,-1.44063056,1
5470,5.470206,-3000,-1.44063056,1
5471,5.471204,-3000,-1.44063056,1
5472,5.472205,-3000,-1.44063056,1
5473,5.47321,-3000,-1.44063056,1
5474,5.474203,-3000,-1.44063056,1
5475,5.475208,-3000,-1.44915271,1
5476,5.476209,-3000,-1.44915271,1
5477,5.477206,-3000,-1.44915271,1
5478,5.478202,-3000,-1.44915271,1
5479,5.479221,-3000,-1.47791481,1
5480,5.480203,-3000,-1.49815488,1
5481,5.481204,-3000,-1.49815488,1
5482,5.482209,-3000,-1.49815488,1
5483,5.48321,-3000,-1.49815488,1
5484,5.484208,-3000,-1.49815488,1
5485,5.485208,-3000,-1.49815488,1
5486,5.486206,-3000,-1.49815488,1
5487,5.487207,-3000,-1.52585173,1
5488,5.488207,-3000,-1.52585173,1
5489,5.489221,-3000,-1.52585173,1
5490,5.490221,-3000,-1.52585173,1
5491,5.491203,-3000,-1.55248332,1
5492,5.492203,-3000,-1.57378864,1
5493,5.493207,-3000,-1.57378864,1
5494,5.494206,-3000,-1.57378864,1
5495,5.495202,-3000,-1.57378864,1
5496,5.496203,-3000,-1.57378864,1
5497,5.497207,-3000,-1.57378864,1
5498,5.498203,-3000,-1.57378864,1
5499,5.499222,-3000,-1.59083283,1
5500,5.500206,-3000,-1.59083283,1
5501,5.501203,-3000,-1.59083283,1
5502,5.502203,-3000,-1.59083283,1
5503,5.503208,-3000,-1.61533391,1
5504,5.504208,-3000,-1.63450873,1
5505,5.505205,-3000,-1.63450873,1
5506,5.506205,-3000,-1.63450873,1
5507,5.507209,-3000,-1.63450873,1
5508,5.508204,-3000,-1.63450873,1
5509,5.509209,-3000,-1.63450873,1
5510,5.510221,-3000,-1.63450873,1
5511,5.511205,-3000,-1.65581405,1
5512,5.51221,-3000,-1.65581405,1
5513,5.51321,-3000,-1.65581405,1
5514,5.514207,-3000,-1.65581405,1
5515,5.515207,-3000,-1.67818451,1
5516,5.516203,-3000,-1.69522882,1
5517,5.517203,-3000,-1.69522882,1
5518,5.518203,-3000,-1.69522882,1
5519,5.519203,-3000,-1.69522882,1
5520,5.520217,-3000,-1.69522882,1
5521,5.521204,-3000,-1.69522882,1
5522,5.522209,-3000,-1.69522882,1
5523,5.523209,-3000,-1.70907724,1
5524,5.524205,-3000,-1.70907724,1
5525,5.525205,-3000,-1.70907724,1
5526,5.52621,-3000,-1.70907724,1
5527,5.52721,-3000,-1.73038256,1
5528,5.528203,-3000,-1.74742675,1
5529,5.529204,-3000,-1.74742675,1
5530,5.530209,-3000,-1.74742675,1
5531,5.531217,-3000,-1.74742675,1
5532,5.532206,-3000,-1.74742675,1
5533,5.533207,-3000,-1.74742675,1
5534,5.534204,-3000,-1.74742675,1
5535,5.535205,-3000,-1.75062251,1
5536,5.536203,-3000,-1.75062251,1
5537,5.537204,-3000,-1.75062251,1
5538,5.538204,-3000,-1.75062251,1
5539,5.539205,-3000,-1.7751236,1
5540,5.54021,-3000,-1.78684151,1
5541,5.541216,-3000,-1.78684151,1
5542,5.542206,-3000,-1.78684151,1
5543,5.543207,-3000,-1.78684151,1
5544,5.544205,-3000,-1.78684151,1
5545,5.545206,-3000,-1.78684151,1
5546,5.54622,-3000,-1.78684151,1
5547,5.54721,-3000,-1.80814683,1
5548,5.548206,-3000,-1.80814683,1
5549,5.549203,-3000,-1.80814683,1
5550,5.550204,-3000,-1.80814683,1
5551,5.551223,-3000,-1.80921209,1
5552,5.552208,-3000,-1.83158267,1
5553,5.553205,-3000,-1.83158267,1
5554,5.554206,-3000,-1.83158267,1
5555,5.555204,-3000,-1.83158267,1
5556,5.556205,-3000,-1.83158267,1
5557,5.55721,-3000,-1.83158267,1
5558,5.558204,-3000,-1.83158267,1
5559,5.559208,-3000,-1.83051741,1
5560,5.560208,-3000,-1.83051741,1
5561,5.561205,-3000,-1.83051741,1
5562,5.562258,-3000,-1.83051741,1
5563,5.563207,-3000,-1.84543109,1
5564,5.564204,-3000,-1.85288787,1
5565,5.565204,-3000,-1.85288787,1
5566,5.566208,-3000,-1.85288787,1
5567,5.567208,-3000,-1.85288787,1
5568,5.568208,-3000,-1.85288787,1
5569,5.569208,-3000,-1.85288787,1
5570,5.570205,-3000,-1.85288787,1
5571,5.571205,-3000,-1.87312794,1
5572,5.572209,-3000,-1.87312794,1
5573,5.573209,-3000,-1.87312794,1
5574,5.57422,-3000,-1.87312794,1
5575,5.575204,-3000,-1.88591111,1
5576,5.576209,-3000,-1.89017212,1
5577,5.577209,-3000,-1.89017212,1
5578,5.578208,-3000,-1.89017212,1
5579,5.579208,-3000,-1.89017212,1
5580,5.580205,-3000,-1.89017212,1
5581,5.581212,-3000,-1.89017212,1
5582,5.582205,-3000,-1.89017212,1
5583,5.583251,-3000,-1.91467321,1
5584,5.584228,-3000,-1.91467321,1
5585,5.585215,-3000,-1.91467321,1
5586,5.586208,-3000,-1.91467321,1
5587,5.587204,-3000,-1.93065226,1
5588,5.588208,-3000,-1.93704379,1
5589,5.589204,-3000,-1.93704379,1
5590,5.590204,-3000,-1.93704379,1
5591,5.591208,-3000,-1.93704379,1
5592,5.592209,-3000,-1.93704379,1
