Index,Time,openloop_spd_ref,openloop_spd_fdb
0,0,0,0
1,0.001429,0,0
2,0.002402,0,0
3,0.003389,0,0
4,0.004386,0,0
5,0.005385,0,0
6,0.00639,0,0
7,0.007389,0,0
8,0.008386,0,0
9,0.009403,0,0
10,0.010387,0,0
11,0.011384,0,0
12,0.012384,0,0
13,0.013388,0,0
14,0.014388,0,0
15,0.015384,0,0
16,0.016384,0,0
17,0.017388,0,0
18,0.018388,0,0
19,0.019404,0,0
20,0.020387,0,0
21,0.021383,0,0
22,0.022389,0,0
23,0.023384,0,0
24,0.024383,0,0
25,0.025387,0,0
26,0.026385,0,0
27,0.027389,0,0
28,0.028388,0,0
29,0.029386,0,0
30,0.030441,0,0
31,0.031387,0,0
32,0.032386,0,0
33,0.03339,0,0
34,0.034388,0,0
35,0.035384,0,0
36,0.036383,0,0
37,0.037387,0,0
38,0.038385,0,0
39,0.039384,0,0
40,0.040383,0,0
41,0.041399,0,0
42,0.04239,0,0
43,0.043386,0,0
44,0.044385,0,0
45,0.045388,0,0
46,0.046387,0,0
47,0.047383,0,0
48,0.04839,0,0
49,0.049388,0,0
50,0.050387,0,0
51,0.051404,0,0
52,0.052386,0,0
53,0.05339,0,0
54,0.054389,0,0
55,0.055385,0,0
56,0.056404,0,0
57,0.057387,0,0
58,0.058384,0,0
59,0.059388,0,0
60,0.060384,0,0
61,0.061384,0,0
62,0.062404,0,0
63,0.063388,0,0
64,0.064385,0,0
65,0.065384,0,0
66,0.066389,0,0
67,0.067389,0,0
68,0.068385,0,0
69,0.069388,0,0
70,0.070385,0,0
71,0.071384,0,0
72,0.072399,0,0
73,0.073383,0,0
74,0.074388,0,0
75,0.075388,0,0
76,0.076384,0,0
77,0.077384,0,0
78,0.078388,0,0
79,0.079383,0,0
80,0.080388,0,0
81,0.081387,0,0
82,0.082384,0,0
83,0.083401,0,0
84,0.084385,0,0
85,0.08539,0,0
86,0.086389,0,0
87,0.087384,0,0
88,0.08839,0,0
89,0.089388,0,0
90,0.090387,0,0
91,0.091383,0,0
92,0.09239,0,0
93,0.093403,0,0
94,0.094386,0,0
95,0.09539,0,0
96,0.096388,0,0
97,0.097384,0,0
98,0.098383,0,0
99,0.09939,0,0
100,0.100388,0,0
101,0.101384,0,0
102,0.102383,0,0
103,0.103404,0,0
104,0.104387,0,0
105,0.105383,0,0
106,0.106389,0,0
107,0.107385,0,0
108,0.108384,0,0
109,0.109391,0,0
110,0.110389,0,0
111,0.111402,0,0
112,0.112385,0,0
113,0.113389,0,0
114,0.114399,0,0
115,0.11539,0,0
116,0.116386,0,0
117,0.117385,0,0
118,0.118389,0,0
119,0.119383,0,0
120,0.120386,0,0
121,0.121385,0,0
122,0.122389,0,0
123,0.123389,0,0
124,0.124403,0,0
125,0.125387,0,0
126,0.126384,0,0
127,0.127384,0,0
128,0.128388,0,0
129,0.129383,0,0
130,0.130388,0,0
131,0.131387,0,0
132,0.132384,0,0
133,0.133384,0,0
134,0.134478,0,0
135,0.135385,0,0
136,0.13639,0,0
137,0.137389,0,0
138,0.138386,0,0
139,0.139389,0,0
140,0.140385,0,0
141,0.141385,0,0
142,0.142389,0,0
143,0.143389,0,0
144,0.144386,0,0
145,0.145439,0,0
146,0.146383,0,0
147,0.147388,0,0
148,0.148387,0,0
