Index,Time,openloop_spd_ref,openloop_spd_fdb
23358,23.35818,676.767395,-2.33438754
23359,23.35918,732.955017,-2.33438754
23360,23.360184,788.986694,-2.33438754
23361,23.361184,845.039063,-2.33438754
23362,23.362193,900.92572,-2.3088212
23363,23.363179,956.822998,-2.3088212
23364,23.364184,1012.54492,-2.3088212
23365,23.365183,1068.26721,-2.3088212
23366,23.366179,1123.80444,-2.3088212
23367,23.367179,1179.24219,-2.28112435
23368,23.368183,1234.57544,-2.23425269
23369,23.369182,1289.88855,-2.23425269
23370,23.370178,1344.9978,-2.23425269
23371,23.371186,1399.98792,-2.23425269
23372,23.372195,1454.94263,-2.23425269
23373,23.373182,1509.67944,-2.23425269
23374,23.374178,1564.37085,-2.17353272
23375,23.375178,1618.83496,-2.17353272
23376,23.376182,1673.15552,-2.17353272
23377,23.377181,1727.32788,-2.17353272
23378,23.378185,1781.43457,-2.17353272
23379,23.379185,1835.29553,-2.11707354
23380,23.380179,1889.08093,-2.0797894
23381,23.381185,1942.61157,-2.0797894
23382,23.3822,1996.0564,-2.0797894
23383,23.383178,2049.23779,-2.0797894
23384,23.384181,2102.2373,-2.0797894
23385,23.38518,2155.05078,-2.0797894
23386,23.386183,2207.6731,-2.01800394
23387,23.387182,2260.18457,-2.01800394
23388,23.388185,2312.4104,-2.01800394
23389,23.389184,2364.51562,-2.01800394
23390,23.390179,2416.32666,-2.01800394
23391,23.391178,2468.00708,-1.93917429
23392,23.392199,2519.38501,-1.86780167
23393,23.393185,2570.53955,-1.86780167
23394,23.39418,2621.46606,-1.86780167
23395,23.395179,2672.24243,-1.86780167
23396,23.396182,2722.69946,-1.86780167
23397,23.397181,2772.99658,-1.86780167
23398,23.398184,2822.96606,-1.81453836
23399,23.399182,2872.76587,-1.81453836
23400,23.4002,2922.23022,-1.81453836
23401,23.401183,2971.51489,-1.81453836
23402,23.402197,3020.37744,-1.81453836
23403,23.403183,3069.05176,-1.72292566
23404,23.404179,3117.53198,-1.66114032
23405,23.405185,3165.65747,-1.66114032
23406,23.406181,3213.57959,-1.66114032
23407,23.407179,3261.13916,-1.66114032
23408,23.408182,3308.48608,-1.66114032
23409,23.409181,3355.46289,-1.66114032
23410,23.410184,3402.14233,-1.58550656
23411,23.411183,3448.52002,-1.58550656
23412,23.412178,3494.66675,-1.58550656
23413,23.413197,3540.42847,-1.58550656
23414,23.41418,3585.94995,-1.58550656
23415,23.415185,3631.07983,-1.48856747
23416,23.416184,3675.95996,-1.40867269
23417,23.41718,3720.44165,-1.40867269
23418,23.41818,3764.66479,-1.40867269
23419,23.419184,3808.41162,-1.40867269
23420,23.420183,3851.89209,-1.40867269
23421,23.421179,3895.10083,-1.40867269
23422,23.422179,3937.89429,-1.40867269
23423,23.423192,3980.40698,-1.40867269
23424,23.424184,4022.49805,-1.40867269
23425,23.42518,4064.2998,-1.40867269
23426,23.42618,4105.67334,-1.40867269
23427,23.427184,4146.74902,-1.2584703
23428,23.428183,4187.3252,-1.16046607
23429,23.429179,4227.66113,-1.16046607
23430,23.430179,4267.55664,-1.16046607
23431,23.431183,4307.1377,-1.16046607
23432,23.432182,4346.27295,-1.16046607
23433,23.433198,4385.08496,-1.16046607
23434,23.434181,4423.4458,-1.05393958
23435,23.435178,4461.41406,-1.05393958
23436,23.436185,4498.98682,-1.05393958
23437,23.437181,4536.16113,-1.05393958
23438,23.438181,4572.99268,-1.05393958
23439,23.439185,4609.35889,-0.959131122
23440,23.440184,4645.37402,-0.879236281
23441,23.44118,4680.91943,-0.879236281
23442,23.44218,4716.10645,-0.879236281
23443,23.443192,4750.81787,-0.879236281
23444,23.444184,4785.16357,-0.879236281
23445,23.445179,4818.97461,-0.879236281
23446,23.446185,4852.46777,-0.779101431
23447,23.44718,4885.47656,-0.779101431
23448,23.448179,4918.10449,-0.779101431
23449,23.449181,4950.24316,-0.779101431
23450,23.45018,4981.99414,-0.779101431
23451,23.451208,5013.25195,-0.666183352
23452,23.452194,5044.06543,-0.550069571
23453,23.453179,5074.48047,-0.550069571
23454,23.454193,5074.48047,-0.550069571
23455,23.455184,5133.85986,-0.550069571
23456,23.45618,5162.86816,-0.550069571
23457,23.457178,5191.46436,-0.550069571
23458,23.458181,5219.5542,-0.43928206
23459,23.45918,5247.22607,-0.43928206
23460,23.460183,5274.38721,-0.43928206
23461,23.461182,5301.12402,-0.43928206
23462,23.462185,5327.30518,-0.43928206
23463,23.463179,5353.09814,-0.356191427
23464,23.464182,5378.375,-0.235816523
23465,23.465196,5403.21436,-0.235816523
23466,23.466179,5427.53467,-0.235816523
23467,23.467182,5451.41211,-0.235816523
23468,23.468181,5474.76709,-0.235816523
23469,23.469184,5497.63721,-0.235816523
23470,23.470183,5520.05566,-0.129290074
23471,23.471178,5541.91309,-0.129290074
23472,23.472185,5563.34912,-0.129290074
23473,23.473183,5584.25732,-0.129290074
23474,23.474181,5584.25732,-0.129290074
23475,23.475196,5624.61914,0.01239009
23476,23.476179,5644.06738,0.122112326
23477,23.477182,5662.9834,0.122112326
23478,23.478181,5681.42676,0.122112326
23479,23.479184,5699.30762,0.122112326
23480,23.480183,5716.74121,0.122112326
23481,23.481179,5733.63867,0.122112326
23482,23.482179,5750.05469,0.182832405
23483,23.483178,5765.93359,0.182832405
23484,23.484185,5781.30176,0.182832405
23485,23.485196,5796.18115,0.182832405
23486,23.48618,5810.52246,0.182832405
23487,23.487184,5824.37012,0.273379862
23488,23.488184,5837.6582,0.390558958
23489,23.48918,5850.4707,0.390558958
23490,23.49018,5862.74365,0.390558958
23491,23.491183,5874.51562,0.390558958
23492,23.492183,5874.51562,0.390558958
23493,23.493182,5896.47461,0.390558958
23494,23.494181,5906.66113,0.471519053
23495,23.495185,5916.33936,0.471519053
23496,23.496209,5925.47754,0.471519053
23497,23.497196,5934.08984,0.471519053
23498,23.49818,5942.17676,0.471519053
23499,23.499184,5949.74854,0.557805479
23500,23.500183,5956.78027,0.640896082
23501,23.501179,5963.28418,0.640896082
23502,23.502179,5969.26855,0.640896082
23503,23.503178,5974.71387,0.640896082
23504,23.504335,5979.63721,0.640896082
23505,23.505183,5984.01514,0.640896082
23506,23.506179,5987.87646,0.721856236
23507,23.507178,5991.2002,0.721856236
23508,23.508194,5993.99707,0.721856236
23509,23.509178,5996.25732,0.721856236
23510,23.510182,5997.98877,0.721856236
23511,23.51118,5999.18555,0.819860518
23512,23.512183,5999.85107,0.89229852
23513,23.513184,5999.9834,0.89229852
23514,23.514179,5999.5835,0.89229852
23515,23.515178,5998.65234,0.89229852
23516,23.516181,5997.18896,0.89229852
23517,23.51718,5995.19043,0.89229852
23518,23.518251,5992.66357,0.978584945
23519,23.51918,5989.6001,0.978584945
23520,23.520179,5986.01025,0.978584945
23521,23.521182,5981.88281,0.978584945
23522,23.522181,5977.23145,0.978584945
23523,23.523179,5972.05029,1.04995775
23524,23.524178,5966.33936,1.11919987
23525,23.525181,5960.08936,1.11919987
23526,23.52618,5953.3208,1.11919987
23527,23.527183,5946.0127,1.11919987
23528,23.528181,5938.18848,1.11919987
23529,23.529225,5929.82422,1.11919987
23530,23.530178,5920.94727,1.20442104
23531,23.531182,5911.54541,1.20442104
23532,23.532181,5901.61963,1.20442104
23533,23.533179,5891.1709,1.20442104
23534,23.534185,5880.18164,1.20442104
23535,23.535181,5868.68896,1.27898955
23536,23.536179,5856.65576,1.35355806
23537,23.537182,5844.12256,1.35355806
23538,23.538181,5831.0498,1.35355806
23539,23.539215,5817.48145,1.35355806
23540,23.540179,5803.39697,1.35355806
23541,23.541182,5788.79785,1.35355806
23542,23.542181,5773.66113,1.42599607
23543,23.543179,5758.03662,1.42599607
23544,23.544178,5741.87549,1.42599607
23545,23.545181,5725.23096,1.42599607
23546,23.546181,5708.05078,1.42599607
23547,23.547184,5690.3916,1.48458564
23548,23.548184,5672.19873,1.56554568
23549,23.54918,5653.5625,1.56554568
23550,23.550198,5634.39551,1.56554568
23551,23.551182,5614.69678,1.56554568
23552,23.552178,5594.53174,1.56554568
23553,23.553181,5573.8374,1.56554568
23554,23.554184,5552.68164,1.64650583
23555,23.555184,5530.99854,1.64650583
23556,23.55618,5508.85937,1.64650583
23557,23.55718,5486.23242,1.64650583
23558,23.558197,5463.11914,1.64650583
23559,23.559184,5439.48291,1.72107434
23560,23.56018,5415.40234,1.76901126
23561,23.561199,5390.80127,1.76901126
23562,23.562183,5365.76221,1.76901126
23563,23.563182,5340.20605,1.76901126
23564,23.564182,5314.21729,1.76901126
23565,23.565178,5287.75732,1.76901126
23566,23.566185,5260.82861,1.84571028
23567,23.567181,5233.43408,1.84571028
23568,23.568181,5205.52979,1.84571028
23569,23.569185,5177.20898,1.84571028
23570,23.570184,5148.38232,1.84571028
23571,23.571193,5119.14551,1.90536511
23572,23.572179,5089.40625,1.9682157
23573,23.573178,5059.26416,1.9682157
23574,23.574185,5028.62305,1.9682157
23575,23.575181,4997.63672,1.9682157
23576,23.57618,4966.10596,1.9682157
23577,23.577182,4934.18555,1.9682157
23578,23.57818,4901.7749,2.04491448
23579,23.579183,4868.98193,2.04491448
23580,23.580182,4835.70361,2.04491448
23581,23.581193,4802.0498,2.04491448
23582,23.582184,4767.97021,2.04491448
23583,23.583183,4733.46826,2.07154632
23584,23.584181,4698.54687,2.13226628
23585,23.585184,4663.15088,2.13226628
23586,23.586183,4627.39893,2.13226628
23587,23.587178,4591.17773,2.13226628
23588,23.588184,4554.6084,2.13226628
23589,23.58918,4517.57471,2.13226628
23590,23.590178,4480.2002,2.19724751
