Index,Time,openloop_spd_ref,openloop_spd_fdb
0,0.000000,0,0
1,0.001209,0,0
2,0.001909,0,0
3,0.003008,0,0
4,0.003991,0,0
5,0.005002,0,0
6,0.005993,0,0
7,0.007005,0,0
8,0.007996,0,0
9,0.009007,0,0
10,0.010010,0,0
11,0.011006,0,0
12,0.011997,0,0
13,0.013011,0,0
14,0.013994,0,0
15,0.015007,0,0
16,0.015991,0,0
17,0.017003,0,0
18,0.017995,0,0
19,0.019007,0,0
20,0.020015,0,0
21,0.021009,0,0
22,0.022006,0,0
23,0.022993,0,0
24,0.024005,0,0
25,0.024997,0,0
26,0.026009,0,0
27,0.026993,0,0
28,0.028005,0,0
29,0.028997,0,0
30,0.030009,0,0
31,0.031094,0,0
32,0.031902,0,0
33,0.033013,0,0
34,0.033997,0,0
35,0.035009,0,0
36,0.035992,0,0
37,0.037005,0,0
38,0.037996,0,0
39,0.039009,0,0
40,0.039993,0,0
41,0.041005,0,0
42,0.042033,0,0
43,0.042993,0,0
44,0.044006,0,0
45,0.044996,0,0
46,0.046007,0,0
47,0.046997,0,0
48,0.048009,0,0
49,0.048992,0,0
50,0.050003,0,0
51,0.050994,0,0
52,0.052006,0,0
53,0.053000,0,0
54,0.054007,0,0
55,0.055004,0,0
56,0.055994,0,0
57,0.057006,0,0
58,0.057997,0,0
59,0.059032,0,0
60,0.060006,0,0
61,0.061009,0,0
62,0.061992,0,0
63,0.063007,0,0
64,0.064005,0,0
65,0.065009,0,0
66,0.065992,0,0
67,0.067003,0,0
68,0.067994,0,0
69,0.069006,0,0
70,0.069996,0,0
71,0.071008,0,0
72,0.071991,0,0
73,0.073005,0,0
74,0.073996,0,0
75,0.075004,0,0
76,0.076008,0,0
77,0.076991,0,0
78,0.078002,0,0
79,0.078993,0,0
80,0.080006,0,0
81,0.080989,0,0
82,0.082010,0,0
83,0.082997,0,0
84,0.084009,0,0
85,0.084993,0,0
86,0.086004,0,0
87,0.087009,0,0
88,0.087993,0,0
89,0.089005,0,0
90,0.089997,0,0
91,0.091009,0,0
92,0.091993,0,0
93,0.093008,0,0
94,0.093992,0,0
95,0.095004,0,0
96,0.096007,0,0
97,0.097004,0,0
98,0.097996,0,0
99,0.099008,0,0
100,0.099992,0,0
101,0.101004,0,0
102,0.101996,0,0
103,0.103011,0,0
104,0.103995,0,0
105,0.105007,0,0
106,0.106097,0,0
107,0.106905,0,0
108,0.108005,0,0
109,0.108996,0,0
110,0.110008,0,0
111,0.110990,0,0
112,0.112009,0,0
113,0.112995,0,0
114,0.114010,0,0
115,0.115006,0,0
116,0.116021,0,0
117,0.117011,0,0
118,0.118007,0,0
119,0.118990,0,0
120,0.120009,0,0
121,0.120992,0,0
122,0.122004,0,0
123,0.122998,0,0
124,0.124009,0,0
125,0.124992,0,0
126,0.126016,0,0
127,0.127006,0,0
128,0.128010,0,0
129,0.128993,0,0
130,0.130004,0,0
131,0.130995,0,0
132,0.132006,0,0
133,0.132993,0,0
134,0.134004,0,0
135,0.134995,0,0
136,0.136007,0,0
137,0.137009,0,0
138,0.138005,0,0
139,0.138996,0,0
140,0.140007,0,0
141,0.140990,0,0
